timeStamp,eventType,isMouse,klmId,button
1621980867.4843426,mouseMove,True,Px,4
1621980867.5350456,mouseMove,True,Px,1
1621980867.7975912,mouseClick,True,B,1
1621980868.0573158,mouseMove,True,Px,2
1621980868.225183,mouseMove,True,Px,5
1621980868.231379,mouseMove,True,Px,6
1621980868.467208,mouseClick,True,B,6
1621980868.768254,mouseMove,True,Px,5
1621980868.7963328,mouseMove,True,Px,8
1621980869.042312,mouseMove,True,Px,7
1621980869.0809321,mouseMove,True,Px,*
1621980869.2054646,mouseClick,True,B,*
1621980869.5301492,mouseMove,True,Px,7
1621980869.584181,mouseMove,True,Px,8
1621980869.8591337,mouseMove,True,Px,5
1621980869.9764223,mouseMove,True,Px,2
1621980870.1143098,mouseClick,True,B,2
1621980870.557942,mouseMove,True,Px,5
1621980870.6440299,mouseMove,True,Px,6
1621980870.7428155,mouseMove,True,Px,9
1621980870.9221132,mouseClick,True,B,9
1621980871.162539,mouseMove,True,Px,8
1621980871.28846,mouseMove,True,Px,*
1621980871.3982284,mouseMove,True,Px,/
1621980871.5917332,mouseClick,True,B,/
1621980871.7237594,mouseMove,True,Px,7
1621980871.877382,mouseMove,True,Px,5
1621980872.036099,mouseMove,True,Px,2
1621980872.3417916,mouseClick,True,B,2
1621980872.6296446,mouseMove,True,Px,.
1621980873.249465,mouseClick,True,B,.
1621980873.5546277,mouseMove,True,Px,DEL
1621980873.895692,mouseMove,True,Px,=
1621980874.128676,mouseClick,True,B,=
1621980874.6647582,mouseMove,True,Px,3
1621980874.745748,mouseMove,True,Px,6
1621980874.811792,mouseMove,True,Px,9
1621980874.8902762,mouseMove,True,Px,+
