timeStamp,eventType,isMouse,klmId,argument
1622047471.2594078,mouseMove,True,Px,5
1622047471.3067968,mouseMove,True,Px,2
1622047471.4304483,mouseMove,True,Px,1
1622047471.587447,mouseMove,True,Px,1
1622047471.7910528,mouseClick,True,B,1
1622047471.834433,mouseMove,True,Px,4
1622047472.0500295,mouseClick,True,B,4
1622047472.1242898,mouseMove,True,Px,5
1622047472.1423697,mouseMove,True,Px,8
1622047472.2184799,mouseMove,True,Px,9
1622047472.3803523,mouseMove,True,Px,+
1622047472.5892792,mouseClick,True,B,+
1622047472.642307,mouseMove,True,Px,-
1622047472.6549108,mouseMove,True,Px,9
1622047472.6744225,mouseMove,True,Px,8
1622047472.7170503,mouseMove,True,Px,5
1622047472.766518,mouseMove,True,Px,4
1622047472.954607,mouseMove,True,Px,1
1622047473.1800854,mouseClick,True,B,1
1622047473.22484,mouseMove,True,Px,4
1622047473.2445033,mouseMove,True,Px,5
1622047473.4870987,mouseClick,True,B,5
1622047473.554555,mouseMove,True,Px,8
1622047473.606443,mouseMove,True,Px,9
1622047473.699526,mouseMove,True,Px,+
1622047473.9059367,mouseClick,True,B,+
1622047473.9703045,mouseMove,True,Px,9
1622047474.0049543,mouseMove,True,Px,8
1622047474.0223558,mouseMove,True,Px,5
1622047474.0866742,mouseMove,True,Px,2
1622047474.1809802,mouseMove,True,Px,1
1622047474.4830036,mouseClick,True,B,1
1622047474.5464072,mouseMove,True,Px,2
1622047474.6485775,mouseMove,True,Px,6
1622047474.923321,mouseClick,True,B,6
1622047474.9880974,mouseMove,True,Px,9
1622047475.0688927,mouseMove,True,Px,+
1622047475.2574756,mouseClick,True,B,+
1622047475.3525596,mouseMove,True,Px,9
1622047475.4145558,mouseMove,True,Px,6
1622047475.4290295,mouseMove,True,Px,5
1622047475.476757,mouseMove,True,Px,2
1622047475.6088476,mouseMove,True,Px,1
1622047475.9246886,mouseClick,True,B,1
1622047475.9524934,mouseMove,True,Px,4
1622047476.0304053,mouseMove,True,Px,7
1622047476.2274961,mouseClick,True,B,7
1622047476.2984247,mouseMove,True,Px,8
1622047476.384404,mouseMove,True,Px,9
1622047476.4165318,mouseMove,True,Px,+
1622047476.7193751,mouseClick,True,B,+
1622047476.8003106,mouseMove,True,Px,-
1622047476.8184214,mouseMove,True,Px,9
1622047476.831276,mouseMove,True,Px,8
1622047476.900348,mouseMove,True,Px,5
1622047477.0045195,mouseMove,True,Px,4
1622047477.026116,mouseMove,True,Px,1
1622047477.314962,mouseClick,True,B,1
1622047477.359875,mouseMove,True,Px,4
1622047477.3743765,mouseMove,True,Px,5
1622047477.4565258,mouseMove,True,Px,8
1622047477.6491826,mouseClick,True,B,8
1622047477.7607925,mouseMove,True,Px,-
1622047477.8485227,mouseMove,True,Px,+
1622047478.1361496,mouseClick,True,B,+
1622047478.192506,mouseMove,True,Px,-
1622047478.2249107,mouseMove,True,Px,8
1622047478.2804744,mouseMove,True,Px,5
1622047478.4224544,mouseMove,True,Px,4
1622047478.5285313,mouseMove,True,Px,1
1622047478.7962213,mouseClick,True,B,1
1622047478.8425229,mouseMove,True,Px,2
1622047478.8598337,mouseMove,True,Px,5
1622047478.9244263,mouseMove,True,Px,6
1622047478.9388564,mouseMove,True,Px,9
1622047479.2211916,mouseClick,True,B,9
1622047479.3092976,mouseMove,True,Px,+
1622047479.609231,mouseClick,True,B,+
1622047479.7163608,mouseMove,True,Px,9
1622047479.7624376,mouseMove,True,Px,8
1622047479.7758977,mouseMove,True,Px,5
1622047479.8224545,mouseMove,True,Px,2
1622047479.9685469,mouseMove,True,Px,1
1622047480.0944922,mouseMove,True,Px,4
1622047480.4424791,mouseMove,True,Px,4
1622047480.4803448,mouseMove,True,Px,5
1622047480.6667821,mouseMove,True,Px,2
1622047480.9914622,mouseClick,True,B,2
1622047481.073453,mouseMove,True,Px,0
1622047481.3553956,mouseClick,True,B,0
1622047481.5724113,mouseMove,True,Px,)
1622047481.6484697,mouseMove,True,Px,.
1622047481.7127857,mouseMove,True,Px,=
1622047482.1871412,mouseMove,True,Px,=
1622047482.61773,mouseClick,True,B,=
1622047482.6254554,task_finished,,,0
1622047486.4692764,mouseMove,True,Px,DEL
1622047486.4754615,task_started,,,2
1622047486.8869438,mouseMove,True,Px,DEL
1622047487.08875,mouseMove,True,Px,)
1622047487.2036443,mouseMove,True,Px,(
1622047487.4876318,mouseClick,True,B,(
1622047487.5786326,mouseMove,True,Px,)
1622047487.5945113,mouseMove,True,Px,0
1622047487.7455056,mouseMove,True,Px,3
1622047488.0563946,mouseClick,True,B,3
1622047488.1486025,mouseMove,True,Px,6
1622047488.1724217,mouseMove,True,Px,5
1622047488.2346997,mouseMove,True,Px,8
1622047488.3082767,mouseMove,True,Px,*
1622047488.5531456,mouseClick,True,B,*
1622047488.6246934,mouseMove,True,Px,8
1622047488.6864698,mouseMove,True,Px,5
1622047488.7288318,mouseMove,True,Px,6
1622047488.7788079,mouseMove,True,Px,3
1622047489.1610525,mouseClick,True,B,3
1622047489.3709717,mouseMove,True,Px,6
1622047489.4076474,mouseMove,True,Px,5
1622047489.4407756,mouseMove,True,Px,8
1622047489.5084996,mouseMove,True,Px,*
1622047489.844493,mouseMove,True,Px,8
1622047489.892523,mouseMove,True,Px,5
1622047489.9089239,mouseMove,True,Px,6
1622047490.0190518,mouseMove,True,Px,9
1622047490.1004066,mouseMove,True,Px,+
1622047490.3551269,mouseClick,True,B,+
1622047490.5103533,mouseMove,True,Px,9
1622047490.5290089,mouseMove,True,Px,8
1622047490.5785563,mouseMove,True,Px,5
1622047490.6553028,mouseMove,True,Px,4
1622047491.0913126,mouseClick,True,B,4
1622047491.543165,mouseMove,True,Px,7
1622047491.5905516,mouseMove,True,Px,*
1622047491.9794323,mouseClick,True,B,*
1622047492.0778618,mouseMove,True,Px,7
1622047492.1368186,mouseMove,True,Px,4
1622047492.3596048,mouseClick,True,B,4
1622047492.446537,mouseMove,True,Px,1
1622047492.4886487,mouseMove,True,Px,0
1622047492.7367883,mouseMove,True,Px,)
1622047492.9914782,mouseClick,True,B,)
1622047493.0816004,mouseMove,True,Px,0
1622047493.1525211,mouseMove,True,Px,2
1622047493.190445,mouseMove,True,Px,3
1622047493.218104,mouseMove,True,Px,6
1622047493.3088264,mouseMove,True,Px,9
1622047493.3347886,mouseMove,True,Px,8
1622047493.3507326,mouseMove,True,Px,-
1622047493.3926587,mouseMove,True,Px,*
1622047493.6614783,mouseClick,True,B,*
1622047493.7327418,mouseMove,True,Px,8
1622047493.756968,mouseMove,True,Px,7
1622047493.7705364,mouseMove,True,Px,4
1622047493.824565,mouseMove,True,Px,1
1622047494.1083963,mouseClick,True,B,1
1622047494.2565427,mouseMove,True,Px,5
1622047494.586664,mouseClick,True,B,5
1622047494.6266403,mouseMove,True,Px,2
1622047494.6849654,mouseMove,True,Px,0
1622047494.7856348,mouseMove,True,Px,)
1622047495.0142984,mouseMove,True,Px,=
1622047495.1571467,mouseMove,True,Px,.
1622047495.3835945,mouseClick,True,B,.
1622047495.496397,mouseMove,True,Px,0
1622047495.7288816,mouseMove,True,Px,2
1622047495.9294713,mouseClick,True,B,2
1622047496.066427,mouseMove,True,Px,0
1622047496.1504133,mouseMove,True,Px,)
1622047496.1715164,mouseMove,True,Px,.
1622047496.2234654,mouseMove,True,Px,=
1622047496.7654393,mouseClick,True,B,=
1622047496.7730837,task_finished,,,2
1622047500.273062,mouseMove,True,Px,DEL
1622047500.2866802,task_started,,,1
1622047500.846922,keyStroke,False,k,1
1622047501.0381522,keyStroke,False,k,+
1622047501.2223442,keyStroke,False,k,2
1622047501.4565947,keyStroke,False,k,+
1622047501.6477418,keyStroke,False,k,3
1622047502.0670466,keyStroke,False,k,+
1622047502.3215292,keyStroke,False,k,4
1622047502.666086,keyStroke,False,k,+
1622047502.888571,keyStroke,False,k,5
1622047503.1990151,keyStroke,False,k,+
1622047503.4038272,keyStroke,False,k,6
1622047503.746112,keyStroke,False,k,+
1622047503.9680324,keyStroke,False,k,7
1622047504.7844312,keyStroke,False,k,+
1622047505.00284,keyStroke,False,k,8
1622047505.5479276,keyStroke,False,k,+
1622047505.7362533,keyStroke,False,k,9
1622047506.3291776,keyStroke,False,k,+
