timeStamp,eventType,isMouse,klmId,argument
1622047353.6894538,mouseMove,True,Px,DEL
1622047353.695773,task_started,,,2
1622047354.094232,mouseMove,True,Px,)
1622047354.656594,mouseMove,True,Px,(
1622047354.96135,mouseClick,True,B,(
1622047355.090253,mouseMove,True,Px,0
1622047355.2563708,mouseMove,True,Px,3
1622047355.5397959,mouseClick,True,B,3
1622047355.66104,mouseMove,True,Px,6
1622047355.7163844,mouseMove,True,Px,5
1622047355.7364695,mouseMove,True,Px,8
1622047355.8396883,mouseMove,True,Px,*
1622047356.1077945,mouseClick,True,B,*
1622047356.1404433,mouseMove,True,Px,8
1622047356.2048435,mouseMove,True,Px,5
1622047356.228654,mouseMove,True,Px,6
1622047356.3505826,mouseMove,True,Px,3
1622047356.7698073,mouseClick,True,B,3
1622047356.8203955,mouseMove,True,Px,6
1622047356.8909338,mouseMove,True,Px,9
1622047357.0242736,mouseMove,True,Px,+
1622047357.331157,mouseClick,True,B,+
1622047357.481463,mouseMove,True,Px,9
1622047357.512338,mouseMove,True,Px,8
1622047357.5845385,mouseMove,True,Px,5
1622047357.7133882,mouseMove,True,Px,4
1622047358.1390932,mouseClick,True,B,4
1622047358.2193868,mouseMove,True,Px,7
1622047358.2642999,mouseMove,True,Px,8
1622047358.3065217,mouseMove,True,Px,*
1622047358.5075243,mouseClick,True,B,*
1622047358.5794542,mouseMove,True,Px,8
1622047358.622519,mouseMove,True,Px,7
1622047358.6742656,mouseMove,True,Px,4
1622047358.9787796,mouseClick,True,B,4
1622047359.1400938,mouseMove,True,Px,1
1622047359.17856,mouseMove,True,Px,2
1622047359.1952853,mouseMove,True,Px,0
1622047359.3932812,mouseMove,True,Px,)
1622047359.689249,mouseClick,True,B,)
1622047359.7804024,mouseMove,True,Px,0
1622047359.8584702,mouseMove,True,Px,3
1622047359.9900804,mouseMove,True,Px,2
1622047360.0324357,mouseMove,True,Px,5
1622047360.1403391,mouseMove,True,Px,4
1622047360.170499,mouseMove,True,Px,7
1622047360.3145285,mouseMove,True,Px,*
1622047360.672578,mouseClick,True,B,*
1622047360.7304883,mouseMove,True,Px,8
1622047360.7463923,mouseMove,True,Px,7
1622047360.8026514,mouseMove,True,Px,4
1622047360.9478493,mouseMove,True,Px,1
1622047361.259012,mouseClick,True,B,1
1622047361.3584204,mouseMove,True,Px,2
1622047361.3836038,mouseMove,True,Px,5
1622047361.666148,mouseClick,True,B,5
1622047361.7558942,mouseMove,True,Px,2
1622047361.8304756,mouseMove,True,Px,0
1622047361.8864517,mouseMove,True,Px,.
1622047362.2778144,mouseClick,True,B,.
1622047362.3622947,mouseMove,True,Px,)
1622047362.376347,mouseMove,True,Px,0
1622047362.678887,mouseMove,True,Px,2
1622047362.9251807,mouseClick,True,B,2
1622047363.0965269,mouseMove,True,Px,0
1622047363.1904635,mouseMove,True,Px,.
1622047363.2663267,mouseMove,True,Px,=
1622047363.6887012,mouseMove,True,Px,=
1622047363.9945056,mouseClick,True,B,=
1622047364.0077946,task_finished,,,2
1622047366.7420478,mouseMove,True,Px,DEL
1622047366.7539315,task_started,,,3
1622047367.4021604,keyStroke,False,k,(
1622047368.2505214,keyStroke,False,k,3
1622047368.8041162,keyStroke,False,k,*
1622047369.2010605,keyStroke,False,k,3
1622047369.8255475,keyStroke,False,k,+
1622047370.1065254,keyStroke,False,k,4
1622047370.5167964,keyStroke,False,k,*
1622047371.4594066,keyStroke,False,k,4
1622047372.2424023,keyStroke,False,k,)
1622047372.96584,keyStroke,False,k,*
1622047373.9650097,keyStroke,False,k,1
1622047374.240072,keyStroke,False,k,5
1622047374.4732544,keyStroke,False,k,.
1622047374.6643155,keyStroke,False,k,2
1622047375.9135883,keyStroke,False,k,=
1622047375.9196668,task_finished,,,3
1622047379.2429566,mouseMove,True,Px,DEL
1622047379.2536376,task_started,,,1
1622047379.6199772,keyStroke,False,k,1
1622047379.769594,keyStroke,False,k,+
1622047380.0052586,keyStroke,False,k,2
1622047380.174499,keyStroke,False,k,+
1622047380.420219,keyStroke,False,k,3
1622047380.7427604,keyStroke,False,k,+
1622047380.9414601,keyStroke,False,k,4
1622047381.2306871,keyStroke,False,k,+
1622047381.4544818,keyStroke,False,k,5
1622047381.8095262,keyStroke,False,k,+
1622047381.9979722,keyStroke,False,k,6
1622047382.3463938,keyStroke,False,k,+
1622047382.5481622,keyStroke,False,k,7
1622047382.928992,keyStroke,False,k,+
1622047383.0965493,keyStroke,False,k,8
1622047383.4281776,keyStroke,False,k,+
1622047383.745138,keyStroke,False,k,9
1622047384.2430227,keyStroke,False,k,+
1622047384.8936317,keyStroke,False,k,1
1622047385.0217586,keyStroke,False,k,0
1622047385.6258159,keyStroke,False,k,+
1622047385.8324955,keyStroke,False,k,1
1622047385.993163,keyStroke,False,k,1
1622047386.1881495,keyStroke,False,k,+
1622047386.3658066,keyStroke,False,k,1
1622047386.6819124,keyStroke,False,k,2
1622047386.9410834,keyStroke,False,k,+
1622047387.0851994,keyStroke,False,k,1
1622047387.709027,keyStroke,False,k,3
1622047387.9771366,keyStroke,False,k,+
1622047388.1456473,keyStroke,False,k,1
1622047388.426186,keyStroke,False,k,4
1622047388.734599,keyStroke,False,k,+
1622047389.0924988,keyStroke,False,k,1
1622047389.5135634,keyStroke,False,k,5
1622047390.1218042,keyStroke,False,k,+
1622047390.336299,keyStroke,False,k,1
1622047390.6183598,keyStroke,False,k,6
1622047391.2458656,keyStroke,False,k,+
1622047391.48525,keyStroke,False,k,1
1622047391.6769066,keyStroke,False,k,7
1622047392.292983,keyStroke,False,k,+
1622047392.625693,keyStroke,False,k,1
1622047392.7496817,keyStroke,False,k,8
1622047393.425004,keyStroke,False,k,+
1622047393.845202,keyStroke,False,k,1
1622047394.0010831,keyStroke,False,k,9
1622047394.8371801,keyStroke,False,k,+
1622047395.0671456,keyStroke,False,k,2
1622047395.2592287,keyStroke,False,k,0
1622047396.5248559,keyStroke,False,k,=
1622047396.5309877,task_finished,,,1
1622047398.7688572,mouseMove,True,Px,DEL
1622047398.774531,task_started,,,0
1622047399.180477,mouseMove,True,Px,)
1622047399.242708,mouseMove,True,Px,(
1622047399.45872,mouseMove,True,Px,1
1622047399.7138412,mouseClick,True,B,1
1622047399.7989733,mouseMove,True,Px,2
1622047399.8127549,mouseMove,True,Px,5
1622047399.8562567,mouseMove,True,Px,8
1622047399.876502,mouseMove,True,Px,-
1622047400.014544,mouseMove,True,Px,+
1622047400.3266308,mouseClick,True,B,+
1622047400.4203641,mouseMove,True,Px,-
1622047400.4325519,mouseMove,True,Px,9
1622047400.4470942,mouseMove,True,Px,8
1622047400.48231,mouseMove,True,Px,5
1622047400.5527077,mouseMove,True,Px,2
1622047400.9644597,mouseClick,True,B,2
1622047401.0123978,mouseMove,True,Px,5
1622047401.0643735,mouseMove,True,Px,8
1622047401.0864468,mouseMove,True,Px,9
1622047401.1264565,mouseMove,True,Px,+
1622047401.393385,mouseClick,True,B,+
1622047401.4969695,mouseMove,True,Px,9
1622047401.5463142,mouseMove,True,Px,6
1622047401.5985515,mouseMove,True,Px,3
1622047401.8576324,mouseClick,True,B,3
1622047401.8889787,mouseMove,True,Px,6
1622047401.9328864,mouseMove,True,Px,9
1622047401.9692564,mouseMove,True,Px,+
1622047402.2056549,mouseClick,True,B,+
1622047402.350386,mouseMove,True,Px,9
1622047402.3843544,mouseMove,True,Px,8
1622047402.4176998,mouseMove,True,Px,5
1622047402.5270727,mouseMove,True,Px,4
1622047402.8485522,mouseClick,True,B,4
1622047402.886722,mouseMove,True,Px,5
1622047402.918668,mouseMove,True,Px,8
1622047403.0065327,mouseMove,True,Px,-
1622047403.0386097,mouseMove,True,Px,+
1622047403.2676067,mouseClick,True,B,+
1622047403.3463562,mouseMove,True,Px,-
1622047403.3826337,mouseMove,True,Px,8
1622047403.439864,mouseMove,True,Px,5
1622047403.7123652,mouseClick,True,B,5
1622047403.764447,mouseMove,True,Px,8
1622047403.810738,mouseMove,True,Px,9
1622047403.834336,mouseMove,True,Px,-
1622047403.847654,mouseMove,True,Px,+
1622047404.091058,mouseClick,True,B,+
1622047404.1964643,mouseMove,True,Px,9
