timeStamp,eventType,isMouse,klmId,argument
1622044972.2521887,mouseMove,True,Px,DEL
1622044972.259518,task_started,,,0
1622044973.3419588,keyStroke,False,k,(
1622044973.9902833,keyStroke,False,k,3
1622044974.3292289,keyStroke,False,k,*
1622044974.6852386,keyStroke,False,k,3
1622044975.7139773,keyStroke,False,k,+
1622044976.057333,keyStroke,False,k,4
1622044976.4292662,keyStroke,False,k,*
1622044976.8612826,keyStroke,False,k,4
1622044977.6092393,keyStroke,False,k,)
1622044978.1493134,keyStroke,False,k,*
1622044978.486439,keyStroke,False,k,1
1622044978.6413624,keyStroke,False,k,5
1622044978.9972613,keyStroke,False,k,.
1622044979.2810907,keyStroke,False,k,2
1622044979.5583296,keyStroke,False,k,=
1622044979.561943,task_finished,,,0
1622044983.5542917,mouseMove,True,Px,DEL
1622044983.5599756,task_started,,,1
1622044983.791751,mouseMove,True,Px,)
1622044983.9060707,mouseMove,True,Px,(
1622044984.1410673,mouseMove,True,Px,1
1622044984.376935,mouseClick,True,B,1
1622044984.4730802,mouseMove,True,Px,2
1622044984.5153723,mouseMove,True,Px,5
1622044984.650329,mouseMove,True,Px,8
1622044984.7111967,mouseMove,True,Px,9
1622044984.8061483,mouseMove,True,Px,8
1622044985.126581,mouseMove,True,Px,+
1622044985.3354409,mouseClick,True,B,+
1622044985.398158,mouseMove,True,Px,9
1622044985.4288337,mouseMove,True,Px,6
1622044985.4753082,mouseMove,True,Px,2
1622044985.7088056,mouseClick,True,B,2
1622044985.787507,mouseMove,True,Px,6
1622044985.830323,mouseMove,True,Px,9
1622044985.9652917,mouseMove,True,Px,+
1622044986.1225371,mouseClick,True,B,+
1622044986.1929262,mouseMove,True,Px,9
1622044986.2438338,mouseMove,True,Px,6
1622044986.3037307,mouseMove,True,Px,3
1622044986.5355253,mouseClick,True,B,3
1622044986.5981581,mouseMove,True,Px,6
1622044986.631657,mouseMove,True,Px,9
1622044986.6830208,mouseMove,True,Px,+
1622044986.878654,mouseClick,True,B,+
1622044986.9442925,mouseMove,True,Px,-
